 1,         -0.5,         -0.5
      2, -0.450000018,         -0.5
      3, -0.400000006,         -0.5
      4, -0.349999994,         -0.5
      5, -0.299999982,         -0.5
      6, -0.249999985,         -0.5
      7, -0.200000003,         -0.5
      8, -0.150000006,         -0.5
      9, -0.100000001,         -0.5
     10, -0.0500000007,         -0.5
     11,           0.,         -0.5
     12, 0.0500000007,         -0.5
     13,  0.100000001,         -0.5
     14,  0.149999991,         -0.5
     15,  0.200000003,         -0.5
     16,         0.25,         -0.5
     17,  0.299999982,         -0.5
     18,  0.349999994,         -0.5
     19,  0.400000006,         -0.5
     20,  0.450000018,         -0.5
     21,          0.5,         -0.5
     22,         -0.5, -0.450000018
     23, -0.449999988, -0.450000018
     24, -0.400000006, -0.450000018
     25, -0.349999994, -0.450000018
     26, -0.300000012, -0.450000018
     27,        -0.25, -0.450000018
     28, -0.200000003, -0.450000018
     29, -0.150000006, -0.450000018
     30, -0.100000001, -0.450000018
     31, -0.0500000007, -0.450000018
     32,           0., -0.450000018
     33, 0.0500000007, -0.450000018
     34,  0.100000001, -0.450000018
     35,  0.150000006, -0.450000018
     36,  0.200000003, -0.450000018
     37,         0.25, -0.450000018
     38,  0.300000012, -0.450000018
     39,  0.349999994, -0.450000018
     40,  0.400000006, -0.450000018
     41,  0.449999988, -0.450000018
     42,          0.5, -0.450000018
     43,         -0.5, -0.400000006
     44, -0.449999988, -0.400000006
     45, -0.400000006, -0.400000006
     46, -0.349999994, -0.400000006
     47, -0.300000012, -0.400000006
     48,        -0.25, -0.400000006
     49, -0.200000003, -0.400000006
     50, -0.150000006, -0.400000006
     51, -0.100000001, -0.400000006
     52, -0.0500000007, -0.400000006
     53,           0., -0.400000006
     54, 0.0500000007, -0.400000006
     55,  0.100000001, -0.400000006
     56,  0.150000006, -0.400000006
     57,  0.200000003, -0.400000006
     58,         0.25, -0.400000006
     59,  0.300000012, -0.400000006
     60,  0.349999994, -0.400000006
     61,  0.400000006, -0.400000006
     62,  0.449999988, -0.400000006
     63,          0.5, -0.400000006
     64,         -0.5, -0.349999994
     65, -0.449999988, -0.350000024
     66, -0.400000006, -0.350000024
     67, -0.349999994, -0.350000024
     68, -0.300000012, -0.350000024
     69,        -0.25, -0.350000024
     70, -0.200000003, -0.350000024
     71, -0.150000006, -0.350000024
     72, -0.100000001, -0.350000024
     73, -0.0500000007, -0.350000024
     74,           0., -0.350000024
     75, 0.0500000007, -0.350000024
     76,  0.100000001, -0.350000024
     77,  0.150000006, -0.350000024
     78,  0.200000003, -0.350000024
     79,         0.25, -0.350000024
     80,  0.300000012, -0.350000024
     81,  0.349999994, -0.350000024
     82,  0.400000006, -0.350000024
     83,  0.449999988, -0.350000024
     84,          0.5, -0.349999994
     85,         -0.5, -0.299999982
     86, -0.449999988, -0.300000012
     87, -0.400000006, -0.300000012
     88, -0.349999994, -0.300000012
     89, -0.300000012, -0.300000012
     90,        -0.25, -0.300000012
     91, -0.200000003, -0.300000012
     92, -0.150000006, -0.300000012
     93, -0.100000001, -0.300000012
     94, -0.0500000007, -0.300000012
     95,           0., -0.300000012
     96, 0.0500000007, -0.300000012
     97,  0.100000001, -0.300000012
     98,  0.150000006, -0.300000012
     99,  0.200000003, -0.300000012
    100,         0.25, -0.300000012
    101,  0.300000012, -0.300000012
    102,  0.349999994, -0.300000012
    103,  0.400000006, -0.300000012
    104,  0.449999988, -0.300000012
    105,          0.5, -0.299999982
    106,         -0.5,        -0.25
    107, -0.449999988,        -0.25
    108, -0.400000006,        -0.25
    109, -0.349999994,        -0.25
    110, -0.300000012,        -0.25
    111,        -0.25,        -0.25
    112, -0.200000003,        -0.25
    113, -0.150000006,        -0.25
    114, -0.100000001,        -0.25
    115, -0.0500000007,        -0.25
    116,           0.,        -0.25
    117, 0.0500000007,        -0.25
    118,  0.100000001,        -0.25
    119,  0.150000006,        -0.25
    120,  0.200000003,        -0.25
    121,         0.25,        -0.25
    122,  0.300000012,        -0.25
    123,  0.349999994,        -0.25
    124,  0.400000006,        -0.25
    125,  0.449999988,        -0.25
    126,          0.5, -0.249999985
    127,         -0.5, -0.200000003
    128, -0.449999988, -0.199999988
    129, -0.400000006, -0.199999988
    130, -0.349999994, -0.199999988
    131, -0.300000012, -0.199999988
    132,        -0.25, -0.199999988
    133, -0.200000003, -0.199999988
    134, -0.150000006, -0.199999988
    135, -0.100000001, -0.199999988
    136, -0.0500000007, -0.199999988
    137,           0., -0.199999988
    138, 0.0500000007, -0.199999988
    139,  0.100000001, -0.199999988
    140,  0.150000006, -0.199999988
    141,  0.200000003, -0.199999988
    142,         0.25, -0.199999988
    143,  0.300000012, -0.199999988
    144,  0.349999994, -0.199999988
    145,  0.400000006, -0.199999988
    146,  0.449999988, -0.199999988
    147,          0.5, -0.200000003
    148,         -0.5, -0.150000006
    149, -0.449999988, -0.150000006
    150, -0.400000006, -0.150000006
    151, -0.349999994, -0.150000006
    152, -0.300000012, -0.150000006
    153,        -0.25, -0.150000006
    154, -0.200000003, -0.150000006
    155, -0.150000006, -0.150000006
    156, -0.100000001, -0.150000006
    157, -0.0500000007, -0.150000006
    158,           0., -0.150000006
    159, 0.0500000007, -0.150000006
    160,  0.100000001, -0.150000006
    161,  0.150000006, -0.150000006
    162,  0.200000003, -0.150000006
    163,         0.25, -0.150000006
    164,  0.300000012, -0.150000006
    165,  0.349999994, -0.150000006
    166,  0.400000006, -0.150000006
    167,  0.449999988, -0.150000006
    168,          0.5, -0.150000006
    169,         -0.5, -0.100000001
    170, -0.449999988, -0.100000001
